# Photometry of EPIC-210508766
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 13.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457064.579055,103880,40677.676285,14.224396,40713.739934,40324.456561,False,False,False,False
2457064.599488,103881,40681.687967,13.491011,40725.021068,40335.304924,False,False,False,False
2457064.619920,103882,40683.050205,13.149937,40730.955829,40340.809684,False,False,False,False
2457064.640352,103883,40675.390501,14.174738,40727.490605,40336.917221,False,False,False,False
2457064.660785,103884,40659.087325,13.324323,40716.312752,40325.314888,False,False,False,False
2457064.681217,103885,40701.860427,15.150975,40694.546311,40303.126725,False,True,True,True
2457064.701649,103886,40723.438866,15.033867,40717.472421,40325.633869,False,False,False,False
2457064.722081,103887,40756.020363,13.565697,40750.246030,40357.991258,False,False,False,False
2457064.742514,103888,40716.565708,15.038692,40710.714065,40318.045822,False,False,False,False
2457064.762946,103889,40733.521063,13.747561,40727.441243,40334.362274,False,False,False,False
2457064.783378,103890,40744.858275,12.832906,40740.551796,40347.064837,False,False,False,False
2457064.803810,103891,40722.447477,14.780603,40719.291568,40325.399358,False,False,False,False
2457064.824243,103892,40727.563794,14.097548,40727.161149,40332.866423,False,False,False,False
2457064.844675,103893,40723.589752,14.988358,40724.611633,40329.917116,False,False,False,False
2457064.865107,103894,40722.892378,14.583643,40725.572567,40330.480990,False,False,False,False
2457064.885539,103895,40714.832699,14.309101,40720.805533,40325.319615,False,False,False,False
2457064.905972,103896,40727.517561,14.567102,40736.422585,40340.545043,False,False,False,False
2457064.926404,103897,40704.049264,14.553912,40713.627923,40317.361477,False,False,False,False
2457064.946836,103898,40733.126166,12.771909,40746.615763,40349.963122,False,False,False,False
2457064.967268,103899,40717.202897,14.004375,40737.328669,40340.292540,False,False,False,False
2457064.987701,103900,40706.999226,14.400013,40734.540461,40337.123551,False,False,False,False
2457065.008133,103901,40699.373409,14.888256,40731.730861,40333.935868,False,False,False,False
2457065.028565,103902,40695.632324,14.862022,40732.271215,40334.100835,False,False,False,False
2457065.048997,103903,40681.659417,14.937907,40723.566532,40325.023460,False,False,False,False
2457065.069430,103904,40680.661013,14.284170,40726.385031,40327.471956,False,False,False,False
2457065.089862,103905,40690.203801,14.001266,40741.270889,40341.990497,False,False,False,False
2457065.110294,103906,40671.767348,13.653203,40727.920517,40328.275489,False,False,False,False
2457065.130726,103907,40676.632719,13.626947,40739.562204,40339.555218,False,False,False,False
2457065.151159,103908,40676.497413,13.237668,40745.971161,40345.604892,False,False,False,False
2457065.171591,103909,40734.781651,14.279095,40725.169573,40324.446690,False,True,True,True
2457065.192023,103910,40753.022217,14.288544,40742.392706,40341.315877,False,False,False,False
2457065.212455,103911,40754.674438,14.453339,40744.129984,40342.701869,False,False,False,False
2457065.232888,103912,40764.550817,13.743944,40754.363046,40352.586305,False,False,False,False
2457065.253320,103913,40748.309285,15.419776,40739.407373,40337.284659,False,False,False,False
2457065.273752,103914,40739.686848,14.376217,40733.953386,40331.487352,False,False,False,False
2457065.294184,103915,40740.376343,14.693939,40739.092215,40336.285507,False,False,False,False
2457065.314617,103916,40730.539740,14.320040,40734.607433,40331.462692,False,False,False,False
2457065.335049,103917,40747.319901,13.013870,40755.111488,40351.631356,False,False,False,False
2457065.355481,103918,40721.593805,13.742941,40734.589546,40330.776655,False,False,False,False
2457065.375913,103919,40728.723434,13.389893,40748.065233,40343.922213,False,False,False,False
2457065.396346,103920,40724.755993,13.688251,40748.988050,40344.517531,False,False,False,False
2457065.416778,103921,40685.835307,14.920686,40717.011918,40312.216520,False,False,False,False
2457065.437210,103922,40689.640181,14.731501,40727.052763,40321.935103,False,False,False,False
2457065.457642,103923,40708.787144,13.361591,40753.185669,40347.748366,False,False,False,False
2457065.478075,103924,40688.362177,14.706816,40738.592182,40332.837843,False,False,False,False
2457065.498507,103925,40699.821639,13.350156,40756.066601,40349.997831,False,False,False,False
2457065.518939,103926,40668.803272,14.532322,40732.592485,40326.211888,False,False,False,False
2457065.539371,103927,40673.666927,13.945324,40743.552503,40336.862678,False,False,False,False
2457065.559804,103928,40662.432624,14.091130,40739.585807,40332.589347,False,False,False,False
2457065.580236,103929,40672.056696,12.990278,40757.176532,40349.876027,False,False,False,False
2457065.600668,103930,40656.658285,13.849688,40751.023709,40343.421743,False,False,False,False
2457065.621100,103931,40646.295399,13.517071,40752.967898,40345.067052,False,False,False,False
2457065.641532,103932,40644.988240,14.036048,40765.260623,40357.063477,False,False,False,False
2457065.682397,103934,40765.801990,13.545518,40751.782680,40343.000643,False,True,True,True
2457065.702829,103935,40750.825722,14.634254,40735.013047,40325.942416,False,False,False,False
2457065.723261,103936,40749.933932,13.986970,40733.032203,40323.675537,False,False,False,False
2457065.743694,103937,40773.238708,13.937958,40756.193289,40346.553142,False,False,False,False
2457065.764126,103938,40755.776338,14.577846,40738.208686,40328.287613,False,False,False,False
2457065.784558,103939,40769.553892,12.886332,40752.389488,40342.190036,False,False,False,False
2457065.804990,103940,40741.612193,14.419396,40724.034588,40313.559297,False,False,False,False
2457065.825423,103941,40760.221809,13.926353,40743.255821,40332.507235,False,False,False,False
2457065.845855,103942,40742.707345,14.546008,40727.328052,40316.308702,False,False,False,False
2457065.866287,103943,40752.405649,15.073606,40737.901915,40326.614334,False,False,False,False
2457065.886719,103944,40749.321845,15.497434,40735.756531,40324.203245,False,False,False,False
2457065.907152,103945,40752.132952,14.619818,40742.420219,40330.603750,False,False,False,False
2457065.927584,103946,40746.867220,15.042669,40739.897723,40327.820589,False,False,False,False
2457065.948016,103947,40747.143538,14.412236,40742.293880,40329.958594,False,False,False,False
2457065.968448,103948,40759.817021,13.496039,40757.556912,40344.965985,False,False,False,False
2457065.988880,103949,40740.378990,13.732979,40741.822192,40328.978127,False,False,False,False
2457066.009313,103950,40728.459846,13.945724,40732.818495,40319.723794,False,False,False,False
2457066.029745,103951,40746.423298,14.351048,40752.558014,40339.215173,False,False,False,False
2457066.050177,103952,40744.483528,13.091400,40754.380730,40340.792242,False,False,False,False
2457066.070609,103953,40737.632873,14.891309,40752.372091,40338.540444,False,False,False,False
2457066.091042,103954,40707.191251,14.465186,40726.632157,40312.559833,False,False,False,False
2457066.111474,103955,40699.704039,14.155558,40722.712959,40308.402439,False,False,False,False
2457066.131906,103956,40717.555758,14.050500,40744.069040,40329.522800,False,False,False,False
2457066.152338,103957,40738.788859,14.433511,40720.096919,40305.317427,False,True,True,True
2457066.172771,103958,40777.798815,14.179525,40763.613752,40348.603478,False,True,True,True
2457066.193203,103959,40764.789433,13.836066,40748.691007,40333.452412,False,False,False,False
2457066.213635,103960,40756.023586,13.506153,40739.208728,40323.744268,False,False,False,False
2457066.234067,103961,40709.203732,13.511107,40691.280556,40275.592689,False,False,False,False
2457066.254499,103962,40719.775015,14.912889,40700.363378,40284.454551,False,False,False,False
2457066.274932,103963,40703.466352,14.286223,40683.253362,40267.126021,False,False,False,False
2457066.295364,103964,40699.704505,14.728452,40679.247210,40262.903796,False,False,False,False
2457066.315796,103965,40722.774293,14.504451,40703.293591,40286.736541,False,False,False,False
2457066.336228,103966,40762.984222,14.145004,40745.370082,40328.601828,False,False,False,False
2457066.356660,103967,40768.770151,13.200102,40752.644700,40335.667672,False,False,False,False
2457066.377093,103968,40771.395861,14.553915,40756.784014,40339.600635,False,False,False,False
2457066.397525,103969,40750.390552,15.263688,40739.597355,40322.210045,False,False,False,False
2457066.417957,103970,40769.905236,13.253131,40763.580503,40345.991679,False,False,False,False
2457066.438389,103971,40740.923918,14.362452,40738.116800,40320.328872,False,False,False,False
2457066.458822,103972,40739.723856,14.240309,40742.615881,40324.631257,False,False,False,False
2457066.479254,103973,40750.511731,13.680938,40759.003732,40340.824817,False,False,False,False
2457066.499686,103974,40750.529689,12.960305,40765.164900,40346.794091,False,False,False,False
2457066.520118,103975,40735.128514,14.048743,40755.865625,40337.305318,False,False,False,False
2457066.540550,103976,40709.014616,14.142710,40737.069175,40318.321761,False,False,False,False
2457066.560983,103977,40706.083293,14.518853,40741.218551,40322.286417,False,False,False,False
2457066.581415,103978,40703.832961,13.610387,40747.854810,40328.740336,False,False,False,False
2457066.601847,103979,40712.364824,13.943670,40764.519167,40345.224735,False,False,False,False
2457066.622279,103980,40676.592311,14.293550,40736.114818,40316.642800,False,False,False,False
2457066.642712,103981,40750.039308,15.052714,40732.183843,40312.536610,False,True,True,True
2457066.663144,103982,40770.504223,14.359486,40749.533823,40329.713743,False,False,False,False
2457066.683576,103983,40769.696710,14.431567,40751.923718,40331.933151,False,False,False,False
2457066.704008,103984,40767.471910,14.711879,40752.513143,40332.354448,False,False,False,False
2457066.724440,103985,40753.148355,14.071638,40742.456625,40322.132156,False,False,False,False
2457066.744873,103986,40742.013611,14.778427,40734.604333,40314.116441,False,False,False,False
2457066.765305,103987,40741.478050,14.321594,40736.665334,40316.016364,False,False,False,False
2457066.785737,103988,40757.937382,13.726040,40756.621559,40335.813854,False,False,False,False
2457066.806169,103989,40737.980252,13.850432,40740.431760,40319.467657,False,False,False,False
